date,TRIMP,distance_km,duree_min,fc_moyenne,vitesse_moy,cadence_moy,CTL,ATL,TSB,semaine,annee
2024-11-03,10.95,2.226,10.633333333333333,129.31611893583724,12.199571830985915,84.26760563380282,18.92,16.16,2.76,44,2024
2024-11-04,0.0,0.0,0.0,,,,18.04,12.12,5.92,45,2024
2024-11-05,0.0,0.0,0.0,,,,17.21,9.09,8.12,45,2024
2024-11-06,153.36,14.118,56.86666666666667,170.11719894520948,14.697612305889246,84.65180404810795,23.54,45.16,-21.62,45,2024
2024-11-07,0.0,0.0,0.0,,,,22.44,33.87,-11.43,45,2024
2024-11-08,0.0,0.0,0.0,,,,21.4,25.4,-4.0,45,2024
2024-11-09,0.0,0.0,0.0,,,,20.4,19.05,1.35,45,2024
2024-11-10,0.0,0.0,0.0,,,,19.45,14.29,5.16,45,2024
2024-11-11,0.0,0.0,0.0,,,,18.55,10.72,7.83,46,2024
2024-11-12,72.38,8.1835,40.1,152.2251765683423,12.128881595346906,83.78984602580108,21.05,26.13,-5.08,46,2024
2024-11-13,0.0,0.0,0.0,,,,20.07,19.6,0.47,46,2024
2024-11-14,0.0,0.0,0.0,,,,19.14,14.7,4.44,46,2024
2024-11-15,0.0,0.0,0.0,,,,18.25,11.02,7.23,46,2024
2024-11-16,26.93,4.0465,21.566666666666663,136.88957528957528,11.115432277992278,84.2594887683966,18.65,15.0,3.65,46,2024
2024-11-17,49.85,9.999,33.13333333333333,144.50477626948216,17.880128506787333,86.78639798488665,20.11,23.71,-3.6,46,2024
2024-11-18,57.71,6.7335,30.566666666666663,154.16694584031268,13.418028140703518,82.61920714684534,21.85,32.21,-10.36,47,2024
2024-11-19,70.69,9.96,41.93333333333333,149.29678188319429,14.137610488676996,83.35972940708317,24.13,41.83,-17.7,47,2024
2024-11-20,0.0,0.0,0.0,,,,23.0,31.37,-8.37,47,2024
2024-11-21,75.76,8.195,35.9,159.04686774941996,13.590076844547564,84.24779172477918,25.46,42.47,-17.01,47,2024
2024-11-22,0.0,0.0,0.0,,,,24.27,31.85,-7.58,47,2024
2024-11-23,0.0,0.0,0.0,,,,23.14,23.89,-0.75,47,2024
2024-11-24,0.0,0.0,0.0,,,,22.07,17.92,4.15,47,2024
2024-11-25,0.0,0.0,0.0,,,,21.04,13.44,7.6,48,2024
2024-11-26,0.0,0.0,0.0,,,,20.06,10.08,9.98,48,2024
2024-11-27,0.0,0.0,0.0,,,,19.13,7.56,11.57,48,2024
2024-11-28,0.0,0.0,0.0,,,,18.24,5.67,12.57,48,2024
2024-11-29,0.0,0.0,0.0,,,,17.39,4.25,13.14,48,2024
2024-11-30,0.0,0.0,0.0,,,,16.58,3.19,13.39,48,2024
2024-12-01,0.0,0.0,0.0,,,,15.81,2.39,13.42,48,2024
2024-12-02,141.59,13.236,57.15,166.2422543523163,13.942592859250516,83.74210681616997,21.66,37.19,-15.53,49,2024
2024-12-03,0.0,0.0,0.0,,,,20.65,27.89,-7.24,49,2024
2024-12-04,0.0,0.0,0.0,,,,19.69,20.92,-1.23,49,2024
2024-12-05,0.0,0.0,0.0,,,,18.78,15.69,3.09,49,2024
2024-12-06,0.0,0.0,0.0,,,,17.9,11.77,6.13,49,2024
2024-12-07,0.0,0.0,0.0,,,,17.07,8.83,8.24,49,2024
2024-12-08,0.0,0.0,0.0,,,,16.28,6.62,9.66,49,2024
2024-12-09,0.0,0.0,0.0,,,,15.52,4.96,10.56,50,2024
2024-12-10,0.0,0.0,0.0,,,,14.8,3.72,11.08,50,2024
2024-12-11,0.0,0.0,0.0,,,,14.11,2.79,11.32,50,2024
2024-12-12,0.0,0.0,0.0,,,,13.45,2.09,11.36,50,2024
2024-12-13,0.0,0.0,0.0,,,,12.83,1.57,11.26,50,2024
2024-12-14,0.0,0.0,0.0,,,,12.23,1.18,11.05,50,2024
2024-12-15,45.16,4.3865,24.0,154.02172284644195,12.029786966292136,80.81968444778362,13.76,12.17,1.59,50,2024
2024-12-15,72.28,10.1705,33.43333333333333,160.12107623318386,18.090211659192825,85.98252621068397,16.48,27.2,-10.72,50,2024
2024-12-16,73.63,13.652,49.1,144.36952833389887,13.15157692568714,83.43298269426535,19.14,38.81,-19.67,51,2024
2024-12-17,0.0,0.0,0.0,,,,18.25,29.11,-10.86,51,2024
2024-12-18,0.0,0.0,0.0,,,,17.4,21.83,-4.43,51,2024
2024-12-19,0.0,0.0,0.0,,,,16.59,16.37,0.22,51,2024
2024-12-20,0.0,0.0,0.0,,,,15.82,12.28,3.54,51,2024
2024-12-21,0.0,0.0,0.0,,,,15.09,9.21,5.88,51,2024
2024-12-22,0.0,0.0,0.0,,,,14.38,6.91,7.47,51,2024
2024-12-23,94.14,10.444,51.6,152.686911334849,12.21790074699578,83.51073519843851,18.09,28.72,-10.63,52,2024
2024-12-23,81.19,9.507,45.06666666666667,152.1414814814815,12.649648,84.00519287833828,21.03,41.83,-20.8,52,2024
2024-12-24,106.23,11.5385,53.73333333333333,156.1767441860465,12.86562976744186,83.81496429680223,24.99,57.93,-32.94,52,2024
2024-12-25,97.99,9.1175,39.1,166.7635279079676,13.82374537707712,83.8625693555271,28.39,67.95,-39.56,52,2024
