session_file,date,distance_km,duree_min,fc_moyenne,fc_max,vitesse_moy,cadence_moy,allure_min_km,month_year
467003109797822477.fit,2025-02-16,10.33598,45.61666666666667,156.54784514243974,171.0,13.428558802045288,80.32213294375457,4.4680893076077135,2025-02
467026726214467585.fit,2025-02-17,9.991,45.11666666666667,138.09234234234233,151.0,13.502633783783784,80.93684210526315,4.443577524264786,2025-02
467044488318058499.fit,2025-02-18,13.097,60.416666666666664,163.33452840595697,175.0,12.999600000000001,81.33074792243767,4.615526631588664,2025-02
467063548846047234.fit,2025-02-19,5.362,24.716666666666665,152.48450134770889,163.0,12.9996,80.47146739130434,4.615526631588665,2025-02
467075284038877197.fit,2025-02-19,12.308,56.916666666666664,157.76404494382024,186.0,13.151020342992313,81.8413262285376,4.562383635272206,2025-02
467190479090384904.fit,2025-02-24,9.753,44.983333333333334,135.73444444444445,157.0,12.999600000000003,79.43234200743494,4.615526631588663,2025-02
467241311102074883.fit,2025-02-26,5.951,28.25,141.65448113207546,158.0,12.629721226415095,81.8581560283688,4.750698683238538,2025-02
467279904604454919.fit,2025-02-28,20.029,85.58333333333333,155.1158596353656,181.0,14.228926955498922,84.67856442439694,4.216762106352113,2025-02
467345692766011394.fit,2025-03-03,10.265,46.583333333333336,153.79899856938485,177.0,13.211922746781116,82.1647564469914,4.5413526214129645,2025-03
467401441707851784.fit,2025-03-05,2.054,8.95,151.76765799256506,167.0,13.439087732342006,84.46082089552239,4.464588757435242,2025-03
467402261243396098.fit,2025-03-05,1.662,5.083333333333333,156.85294117647058,170.0,19.5012,85.5578231292517,3.076733739462187,2025-03
467494568680521732.fit,2025-03-09,10.554,46.916666666666664,155.28081457663453,168.0,13.651938263665595,83.93309481216458,4.394980320097769,2025-03
467557263928754179.fit,2025-03-12,4.356199999999999,19.783333333333335,141.51683501683502,150.0,13.177524242424242,81.18971332209107,4.553207332135549,2025-03
467558815754125316.fit,2025-03-12,3.518,11.983333333333333,152.55093256814922,158.0,18.159128263988524,78.02020202020202,3.304123365821825,2025-03
467584791445798919.fit,2025-03-13,5.843,23.683333333333334,163.74239049740163,183.0,15.41424587973274,83.75577066269545,3.89250310836746,2025-03
467606593775632385.fit,2025-03-14,15.07,60.25,155.4308628318584,189.0,15.001199999999999,83.24763231197771,3.9996800255979523,2025-03
467650750334402573.fit,2025-03-16,10.024,37.88333333333333,166.7911169744943,180.0,15.8750327176781,84.86960352422908,3.779519769630791,2025-03
467671790842314752.fit,2025-03-17,11.27,45.05,154.24704142011834,162.0,15.0012,81.78927773641102,3.999680025597952,2025-03
467679974631964681.fit,2025-03-17,4.105,18.916666666666668,142.32570422535213,150.0,12.999600000000001,82.19584837545126,4.615526631588664,2025-03
467705610218012672.fit,2025-03-18,18.325,90.91666666666667,151.5406891495601,174.0,12.118918328445748,84.00935436537051,4.9509369049188905,2025-03
467729871414525954.fit,2025-03-20,3.737,17.216666666666665,139.54255319148936,146.0,12.999600000000001,81.7490234375,4.615526631588664,2025-03
467775042927755273.fit,2025-03-21,7.138,30.683333333333334,153.74061990212073,168.0,14.010011745513866,84.49891067538127,4.282651655821241,2025-03
467790470450282499.fit,2025-03-22,4.017,18.95,157.00966608084357,172.0,12.79149595782074,81.56349206349206,4.690616343690115,2025-03
467790470452379652.fit,2025-03-22,10.284,36.18333333333333,180.83103130755063,195.0,17.0324817679558,85.31918819188192,3.5226810054704707,2025-03
467839128940085249.fit,2025-03-24,18.026,80.61666666666666,154.52211657709796,168.0,13.466490533278215,82.8394704178734,4.455503819033533,2025-03
467909728001884187.fit,2025-03-27,19.037,75.28333333333333,165.41876936697653,176.0,15.256100398406375,84.19849357554276,3.932852985568153,2025-03
