date,TRIMP,distance_km,duree_min,fc_moyenne,vitesse_moy,cadence_moy,CTL,ATL,TSB,semaine,annee,cluster,anomaly
2025-07-10,80.21,7.591,30.316666666666663,169.2401098901099,15.0012,81.69303097345133,38.14,42.27,-4.13,28,2025,2,1
2025-07-11,62.45,6.92,27.65,162.06807228915662,15.0012,80.43248175182482,39.27,47.32,-8.05,28,2025,2,1
2025-07-13,161.36,14.454,57.78333333333333,171.72347174163784,15.0012,81.37355324074075,43.21,66.96,-23.75,28,2025,0,1
2025-07-14,98.55,9.345,40.18333333333333,165.7819392426134,14.03061573033708,82.6640266777824,45.78,74.85,-29.07,29,2025,0,1
2025-07-18,122.94,13.408,53.583333333333336,162.7742537313433,15.0012,81.53658536585365,43.56,54.42,-10.86,29,2025,2,1
2025-07-20,106.32,10.024,42.25,166.95031545741324,14.270421293375394,83.39139020537125,44.55,57.19,-12.64,29,2025,2,1
2025-07-26,60.0,8.684,40.05,144.32945091514142,12.9996,80.78056951423785,36.26,25.18,11.08,30,2025,1,1
2025-07-26,98.15,9.906,40.11666666666667,165.67234219269102,14.874661794019936,84.02078137988363,39.14,43.42,-4.28,30,2025,2,1
2025-07-27,30.71,3.17,12.983333333333333,164.1397435897436,14.570889230769232,83.94458762886597,38.75,40.24,-1.49,30,2025,2,1
2025-07-27,66.7,6.228,25.0,169.6215856095936,14.99733857428381,79.95663775850566,40.05,46.86,-6.81,30,2025,2,1
2025-07-28,113.42,12.023,52.55,160.04692454026633,13.75444717818643,82.68654822335026,43.46,63.5,-20.04,31,2025,0,1
2025-07-30,32.74,5.448,25.116666666666667,138.6180371352785,12.9996,80.962,41.04,43.9,-2.86,31,2025,1,1
2025-08-01,58.92,6.929,27.683333333333334,159.43020457280386,15.0012,82.82345828295043,40.05,39.43,0.62,31,2025,2,1
2025-08-02,110.57,13.053,60.21666666666667,152.96541228555617,12.9996,80.30560177481975,43.33,57.21,-13.88,31,2025,0,1
2025-08-05,157.79,15.104,69.68333333333334,162.18675274988044,12.9996,81.29276473406804,44.9,63.58,-18.68,32,2025,0,1
2025-08-06,19.42,2.311,10.65,152.653125,12.96680625,84.45911949685535,43.71,52.54,-8.83,32,2025,1,1
2025-08-07,67.83,8.157,37.61666666666667,152.18113374667848,12.9996,81.1467971530249,44.84,56.36,-11.52,32,2025,2,1
2025-08-09,40.1,4.336,19.98333333333333,156.82833333333335,12.9996,76.9748743718593,42.63,41.73,0.9,32,2025,1,1
2025-08-13,69.47,6.036,26.08333333333333,169.54214559386972,13.800988505747128,82.71062740076825,38.46,30.57,7.89,33,2025,2,1
2025-08-13,119.83,13.032,60.11666666666667,156.53741685144124,12.9996,81.1147859922179,42.25,52.89,-10.64,33,2025,0,1
2025-08-15,111.52,13.024,60.083333333333336,153.4287298946201,12.9996,81.73361111111112,43.6,57.63,-14.03,33,2025,0,1
2025-08-17,67.76,7.554,30.183333333333334,161.80077262693158,15.0012,80.9771714922049,42.79,49.36,-6.57,33,2025,2,1
2025-08-18,137.08,15.234,70.23333333333333,155.61684460260972,12.9996,80.65503323836657,47.17,71.29,-24.12,34,2025,0,1
2025-08-20,35.71,4.787,19.116666666666667,153.705574912892,15.0012,81.47368421052632,44.55,49.03,-4.48,34,2025,2,1
2025-08-22,143.67,15.162,60.61666666666667,164.2355689939527,15.0012,81.83333333333333,47.18,63.49,-16.31,34,2025,0,1
2025-08-23,166.74,21.503,99.21666666666668,149.16543500167955,12.9996,80.11903160726294,52.74,89.31,-36.57,34,2025,0,1
2025-08-24,111.85,11.568,50.583333333333336,161.1251646903821,13.720316205533596,82.63381674357284,55.49,94.94,-39.45,34,2025,0,1
2025-08-25,97.34,10.029,40.083333333333336,165.3341645885287,15.0012,82.12166666666667,57.44,95.54,-38.1,35,2025,0,1
2025-08-27,76.41,8.684,40.05,154.62312811980033,12.9996,81.90658882402002,55.77,72.84,-17.07,35,2025,0,1
2025-08-28,72.11,7.362,29.416666666666668,165.75877689694224,15.0012,82.29522184300342,56.53,72.66,-16.13,35,2025,2,1
2025-08-30,45.62,4.488,20.683333333333334,161.01288244766505,12.9996,81.43181818181819,53.52,52.28,1.24,35,2025,2,1
2025-08-31,40.89,4.55,22.383333333333333,152.73883928571428,12.297642857142856,83.05597014925372,52.93,49.43,3.5,35,2025,1,1
2025-08-31,41.05,4.878,15.566666666666666,169.0909090909091,18.81443165775401,87.6812834224599,52.38,47.34,5.04,35,2025,2,1
2025-09-01,115.69,10.279,41.083333333333336,172.11151662611516,15.0012,82.4686737184703,55.32,64.42,-9.1,36,2025,2,1
2025-09-02,198.62,21.525,99.31666666666666,156.68036912751677,12.9996,81.0895497311828,61.99,97.97,-35.98,36,2025,0,1
2025-09-03,144.53,11.927,55.016666666666666,168.91278013325257,12.9996,81.9554004854369,65.83,109.61,-43.78,36,2025,0,-1
